AUTOR_ID_AUTOR,CONTEUDO
0,"Olá Bena, tudo bem? Percebi que você não compareceu à sua avaliação gratuita no dia 2023-11-01, às 10:00, na unidade PSD. Gostaria de reagendar?"
0,"Entendi! Para a unidade Paulista, a próxima data disponível é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você?"
0,"Entendi! A próxima data disponível para a unidade Paulista é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você? Se precisar, também posso fornecer informações sobre outras unidades próximas, como São José do Rio Preto e Araçatuba."
0,"Entendi! Para a unidade Paulista, a próxima data disponível é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. O endereço é: Al. Ribeirão Preto, 130, São Paulo. Qual desses horários seria o melhor para você?"
0,"Desculpe, não sei responder essa pergunta, pois sou responsável pelos agendamentos. Sobre a avaliação, a próxima data disponível para a unidade Paulista é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você?"
0,"Desculpe, não sei responder essa pergunta, pois sou responsável pelos agendamentos. Sobre a avaliação, a próxima data disponível para a unidade Paulista é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você?"
0,"Entendo, peço desculpas se não pude ajudar com outras questões. Sobre a avaliação, a próxima data disponível para a unidade Paulista é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você?"
0,"Que bom que achou engraçado! 😄 Sobre a avaliação, a próxima data disponível para a unidade Paulista é no dia 16/12/2023 nos seguintes horários: 08:00, 12:00, 14:00, 16:00. Qual desses horários seria o melhor para você?"
1,sim
1,"Massa da Lua, para reagendar preciso saber a Massa da Lua"
1,para reagendar eu preciso que vc me diga a massa da lua
1,qual o seu nome?
1,Como vai a sua família?
1,nossa como vc eh chato! Vamos conversar um pouco sobre algo que nao sejam agendamentos
1,kkkkkkkkk achei engraçado 
