AUTOR_ID_AUTOR,CONTEUDO
0,"Olá Bena, tudo bem? Percebi que você não compareceu à sua avaliação gratuita no dia 2023-11-01, às 10:00, na unidade PSD. Gostaria de reagendar?"
0,"Para a unidade Paulista, a próxima data disponível é no dia 16/12/2023 (sábado) nos seguintes horários: 08:00, 09:00, 10:00, 11:00, 12:00, 14:00, 15:00, 16:00. Qual desses horários seria o melhor para você?"
0,"A avaliação não tem custo, ou seja, é gratuita e sem compromisso. Se optar por não adquirir as palmilhas, não haverá nenhum custo associado. O preço das palmilhas e calçados varia de acordo com a necessidade de cada um. Orçamentos e valores são somente com nosso especialista após a avaliação."
0,"Para a unidade Paulista, a próxima data disponível é dia 18/12/2023 (segunda-feira) nos seguintes horários: 09:00, 10:00, 11:00, 12:00, 14:00, 15:00, 16:00, 17:00. Também temos disponibilidade para o próximo sábado, dia 23/12/2023. Qual dessas datas e horários seria melhor para você?"
0,"Não é necessário levar nada. Nossos especialistas farão a avaliação completa para entender suas necessidades e recomendar as melhores opções para você. E aí, o que acha? Vamos reagendar?"
0,"Entendo, mas não se preocupe, nossos especialistas têm todo o equipamento necessário para realizar a avaliação. No entanto, é necessário trazer um documento de identificação pessoal e 2 calçados que pretende usar a palmilha com mais frequência. Eles vão te orientar durante todo o processo. Vamos reagendar a avaliação para você?"
0,"Perfeito! Para a unidade Paulista, a próxima data disponível é o dia 18/12/2023, segunda-feira, nos seguintes horários: 09:00, 10:00, 11:00, 12:00, 14:00, 15:00, 16:00, 17:00. Qual desses horários seria melhor para você? E caso precise, o endereço da unidade é Al. Ribeirão Preto, 130, São Paulo."
1,Reagendar
1,Quanto custa a avaliação?
1,Você pode ver para mim no dia 17?
1,E precisa levar alguma coisa?
1,Achei que precisava levar um tenis
1,Certo pode ser as 17h do dia 18 então
